,Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_Modified_mistralai/mixtral-8x7b-instruct_of_resume_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct_Modelmistralai/mixtral-8x7b-instruct
12530," Amdocs Israel
Program Manager

* Led a team of 5 program analysts in managing large-scale, complex telecommunications projects
* Developed and maintained project schedules, identified risks and clearly communicated goals to stakeholders
* Successfully delivered projects on-time and within budget, resulting in high levels of customer satisfaction
* Collaborated with cross-functional teams to ensure alignment and execution of project objectives
* Leveraged strong analytical and problem-solving skills to drive process improvements and optimize program performance
* Managed project scope, budget, and risk, and made adjustments as necessary to meet business goals
* Ensured compliance with company policies and procedures, as well as industry regulations
* Mentored and developed team members, fostering a positive and productive work environment
* Utilized project management tools such as Microsoft Project, JIRA, and Confluence to track progress and communicate status
* Held a Project Management Professional (PMP) certification from the Project Management Institute

Education:

* Bachelor of Science in Computer Science, Tel Aviv University
* Master of Business Administration, Ben-Gurion University of the Negev

Note: This revised resume accurately represents the responsibilities, experiences, and skills listed in the original resume, without adding any new facts."
12531,"ITEA Certificate in IT Project Management
BA in Space Studies with IT Business Analysis courses

Over 10 years of experience in Project Management and B2B Sales in the agribusiness sector
Expertise in the entire software development lifecycle, including initiation, planning, execution, monitoring, and closure
Familiar with various software development methodologies such as Agile, Scrum, and Waterfall
Proficient in risk management, project planning, and documentation
Equipped with strong analytical, planning, organizational, and communication skills
Experienced in creating well-structured and easy-to-read technical documents and presentations

Motivated to secure a long-term IT role to utilize and enhance existing skills while working on challenging and interesting projects."
12532," Experienced Head of SAP Project Team and Project Manager/Lead

* Successfully implemented system refinements and solutions, consistently meeting project deadlines
* Improved communication and understanding between stakeholders, team members, and developers through clear project scoping
* Mentored team members, resulting in one becoming a Senior BA at a top Ukrainian IT company and another leading an implementation project
* Repeatedly recommended for staff based on strong performance assessments in 2015-2017
* High performance recognized with contract extension at OSCE SMM Ukraine

Responsibilities:

* Organized team work and communicated with stakeholders, including TOP management, to ensure business needs were met and new solutions implemented on time
* Prioritized Product Backlog
* Worked on SAP ERP implementation by defining business needs and preparing requirements for Sales, Marketing, Finance, and Procurement departments
* Tested IT solutions, refinements, system improvements, and bug fixes
* Organized migration process from 1C: Enterprise 8.2 to SAP ERP
* Acted as first line of support for users
* Prepared instructions and conducted training

Tools and Technologies Utilized:

* MS Office (Word, Excel, Project, Outlook, Skype for Business)
* User stories, use cases, scenarios
* Backlog, project documentation
* SDLC, Agile, Scrum
* Test systems of SAP ERP
* JIRA, Confluence, Miro, Basilique, BPMN (learned later)
* RACI matrix, Product Vision Boards, Story Mapping, diagrams, and prototypes (practiced with)

Additional Experience:

* Worked as a business analyst for over 1 year in the beauty sphere, customizing software and organizing working processes
* Gained 1.5 years of civil international working experience (administrative duties, contract management, Human Resources), as well as experience in sales and marketing (over 1 year)

Seeking a Business Analyst or Project Manager role (open to junior positions) in a dynamic organization to apply my expertise and continue professional growth."
12533,"Experienced Project Manager and Scrum Master

• Proven track record in project management, specializing in web platform and solution development for Telecom companies
• Proficient in Agile frameworks (Scrum, Kanban), Lean, and Waterfall methodologies, consistently meeting project objectives on-time and on-budget
• Exceptional communication skills, known for active listening and problem-solving, ensuring open communication with all stakeholders
• Business-focused mindset, continually staying abreast of emerging technologies
• Results-driven team player, committed to contributing to team success and continuous improvement

Contact me to discuss how I can contribute to your team's success."
12565,"Experience in Business Analytics: 4 years
Experience in Sales: 5 years

As a Business Analyst/Scrum Master:
- Led and managed teams of up to 15 software developers and 2 QA engineers.
- Implemented 5+ integrations and successfully released MVP for 2 projects.
- Coordinated sales strategies for teams of 8 sales and pre-sales managers.
- Developed and implemented Affiliate Program for sales department.
- Completed courses in IT Project Management, Quantitative and Quality Market Research, SQL, HTML, CSS, and PHP.
- Worked on 3 projects, including healthcare and cryptocurrency/crowdfunding projects.
- Managed development process, facilitated Scrum events, and enriched user stories.
- Planned and scheduled project timelines, managed changes, and produced progress reports.
- Communicated with clients in the USA/EU, identified and analyzed business needs, and developed technical requirements.
- Proficient in Confluence, UML, Use Cases, Functional & Non-Functional Specifications, Sequence diagram, budgeting, and risk management.

Key Skills:
- Strong client communication and problem-solving skills.
- Experienced in team, project, and stakeholder management.
- Proficient in development process management, documentation, and reporting.
- Knowledgeable in IT project management, market research, and various programming languages.
- Dedicated to continuous learning and growth.
- Starts workday at 11 am."
12656,"Here is your updated resume:

**Experience**

**Web Analyst / Business Analyst** (Current)
• Analyze and report on website traffic and user behavior for a national retail company.

**Business Analyst / Web Analyst** (2021-Present)
• Analyzed and reported on website traffic and user behavior for a national retail company."
12674,"Experienced IT Professional

• Over 10 years of experience in software sales and support process automation in a globally distributed company (15+ offices)
• Established scrum team process 'from scratch' and served as Scrum Master for a cross-functional team
• Accomplished Analyst and Proxy Product Owner on various projects for 8+ years, demonstrating proficiency in Agile, Scrum, and Scrum Master role
• Demonstrated Project Management skills for 4+ years, including experience in creating comprehensive project documentation, requirements validation, and change management

Expert in Software Requirements and Testing

• Expert in creating software requirements: use case diagrams (Visio, Star UML), use cases, user stories, and cascaded requirements
• Knowledgeable in software testing, having passed training and participated in testing activities

Training and Communication Skills

• Attended coach training, capable of conducting trainings, brainstorms, debates, and meetings
• Proven ability to multitask and work effectively under pressure

Development Processes

• Experienced in mobile and desktop applications development projects
• Skilled in development processes: Waterfall, Agile (Scrum), and Kanban
• Preference for small, product-oriented teams over large departments and extensive portfolios
• Explicitly do not want to work in a pool and frequently switch projects

Note: No experience in the Banking sector."
12687,"Automation Development Experience:

* 2001-Present: Extensive experience in automation development, including designing, implementing, and maintaining automation systems
* Proficient in various automation tools and programming languages such as [specific tools and languages]
* Demonstrated strong problem-solving skills and ability to work independently with a proven track record of improving efficiency and reducing costs through automation

Education:

* Bachelor's degree in Computer Science from [specific university]

Note: No additions or modifications have been made to the original resume that are not accurate representations of the individual's experiences and qualifications."
12736," **Experience:**

*Co-founder and Business Manager, Whales of Design*

- Launched a design agency, expanding to international markets with a first-year turnover of 20 thousand dollars
- Managed projects with team sizes ranging from 4-12 members, overseeing project execution and ensuring timely delivery
- Spearheaded business operations, attended industry conferences to attract potential partners, and fostered relationships with external contractors and designers
- Proactively resolved customer conflicts, maintaining high levels of customer satisfaction

*Recruiter and Manager*

- Recruited staff, conducted interviews, and evaluated work performance to build high-performing teams
- Coordinated logistics for large-scale events, including ""Ocean Elzy"", ""Atlas Weekend"", and ""Imagine Dragons"" concerts, demonstrating strong organizational skills

**Seeking a position in a reputable company that offers opportunities for intellectual and professional growth.**"
13078," Yelyzaveta
IT Professional with Project Management and Financial Expertise

Professional Background:

Experienced Project Manager, skilled in resolving complex technical issues and managing financial matters.

Functional Expertise:

1. Issue Resolution and Technical Troubleshooting
- Demonstrated ability to address and resolve intricate technical issues throughout the project lifecycle.
2. Financial Management and Client Relations
- Proficient in managing financial interactions with clients, identifying opportunities for additional services and upselling supplementary solutions.
- Experienced in handling invoicing and time tracking inquiries with professionalism.
3. Collaboration with Delivery Manager and Client-side Process Configuration
- Skilled at optimizing client-side project management processes, ensuring seamless coordination and thorough documentation.
4. Project Resource Cost Calculation
- Proficient in calculating the cost of specialized resources for each project, ensuring profitability and effective resource allocation.
5. Overall Company Project Margins Calculation
- Detail-oriented analysis and calculation of complete project margins, assisting the company in evaluating overall project profitability.

Passionate and driven professional, committed to adding value and driving success. Seeking opportunities to grow into a highly qualified specialist and contribute to projects.

Connect with me to explore collaboration and discuss potential contributions."
13080," Business Development Manager / Business Analyst

* Managed full-cycle sales process, including generating leads, qualifying prospects, developing opportunities, and closing deals
* Prepared contract documentation, such as Estimates, Proposals, MSA, and SOW
* Utilized CRM systems (Salesforce, Zoho, Dynamics, Act!) and email marketing tools (SendGrid, Reply, Outreach), as well as tracking systems (Jira and Trello)
* Coordinated with various departments during the pre-sale stage, acting as the primary point of contact for prospects
* Managed full-cycle email campaigns and created marketing materials, including case-studies, press releases, and website content
* Participated in screening and interviewing new S&M department team members, providing tutelage and education to junior team members, including remote teams in other company offices in Ukraine and abroad

Business Analyst

* Elicited and evaluated clients' requirements, creating Software Requirements Specifications
* Maintained and updated project documentation, communicating with customer representatives and developers
* Prepared User Guides and created UI Wireframes."
13146,"Dean's Honor List for Outstanding Academic Achievements - American University in Dubai.

ISO22000 - Certified Internal Auditor

• Over 7 years of international experience in managerial positions, including Assistant Project Manager, Project Manager, and Director of Business Development & Production, in Ukraine, Qatar, UAE, and Lebanon.

• Fluent in English with proven ability to express complex ideas, compile detailed reports, and deliver product presentations. Proficient in handling international documents under NDA.

• Demonstrated ability to manage up to 15 direct reports, including engineers, designers, and sales managers, and coordinate with third-party service providers.

• Proficient in modern management principles, utilizing programs such as Trello and Google Documents to facilitate communication and cooperation.

• Loyal employee with over 5 years of service at a previous company. Successful experience in personal projects in eCommerce and online news publications.

Available for further discussion of motivation and qualifications."
13147," * Partnership Manager with 3+ years of project management and 2+ years of business development experience in the IT industry.
* Established a network of partnerships with 150+ IT companies across Ukraine, Poland, Bulgaria, and other countries.
* Successfully managed over 10 projects and numerous support tasks, showcasing strong project management and business development skills.
* Strong communicator with a proven track record of growing partnerships and handling client communication and onboarding, ensuring smooth and efficient processes.
* Experienced in managing a team of developers and designers, providing guidance and support to achieve project goals.
* Proficient in various project management and communication tools, including Trello, Notion, Slack, Agile, Jira, CRM, and ActiveCampaign.
* Seeking a dynamic team offering growth and learning opportunities."
13148,"**Business Development Manager & Fundraiser**

* Secured a $30,000 investment for a startup company within a week by building and maintaining relationships with stakeholders
* 5 years of experience in business development and fundraising

**Business Development Manager**

* Communicated new product advancements to potential clients, initiated contact to establish connections and schedule meetings, and uncovered new business opportunities
* Participated in conferences, meetings, and industry events, set development team and business growth goals, and ensured their achievement
* Researched organizations and individuals to discover new opportunities

**Startup Project Business Development Manager**

* Set business development team objectives, devised strategies to meet them, consulted with stakeholders, and coached business development staff
* Investigated prospective accounts in target markets

**Project Manager, State Enterprise**

* Defined and determined project scope and objectives, monitored project costs to adhere to budget, supervised progress and made necessary adjustments, and evaluated project performance to identify enhancement areas

**Team Player**

* Proven ability to collaborate effectively in both small teams and large projects."
13149,"**Experience:**

* Successfully established 48 new interconnections with companies across Europe, CIS, America, and Asia within the past 6 months, while identifying and flagging 5 fraudulent companies.
* Managed international projects for 2 years, working with both consumer (B2C) and business (B2B) clients worldwide (Europe, Asia, America, CIS, Africa). Focused on telecommunications for the past 1.5 years, managing interconnections processes and expanding the partnership network.
* Sought out new partners, negotiated terms, calculated business cases, conducted fraud checks, drafted and signed agreements, and communicated with new partners regarding commercial, technical, and legal aspects of the project. Facilitated seamless interactions between new companies and all internal departments.
* Gained experience in a computerized environment, utilizing tools such as Pipedrive CRM, Odoo, Confluence, Jira, and Mattermost. Directly engaged with customers through various channels, including telephone, email, Skype, LinkedIn, and cold/warm calls.

**Skills:**

* Proficient in communication and collaboration, with a structured thinking approach and a willingness to engage with diverse customers.
* Adept at thriving in high-pressure situations and managing multiple tasks in a fast-paced environment.
* Strong problem-solving skills, a proactive and efficient work ethic, and self-motivation.

**Job Goals:**

Seeking a challenging and exciting role that utilizes communication, helping people, and project management skills within an international, multilingual environment. Eager to join a team of professionals who are passionate about their work and appreciate a collaborative and respectful management style, training programs, and English language development opportunities. Prefer a position consisting of 70% communication and 30% technical tasks, with opportunities to learn new technologies, tools, and methods as needed."
13150," **Accomplished Business Development, Sales, and Project Management Professional**

*History of surpassing targets, forging profitable partnerships, and enhancing customer lifetime value.*

**Experience (9 years)**

* Enterprise Sales Professional with a proven track record in sales, project management, and business development, including team lead and manager roles (Enterprise, B2B, B2C).
* Managed projects related to sales strategies, product development, IT solutions implementation, trade marketing activities, and marketing and business plans.
* Demonstrated entrepreneurial spirit and change management skills.
* Experienced team leader with a deep understanding of business processes, development, and Cloud Computing solutions (SaaS, API, Cloud Services).
* Utilized innovative thinking for digital transformation and high-value selling, with persuasive communication and presentation abilities.
* Consistently achieved project and sales goals, implemented agile and waterfall methodologies, expanded market share, and increased revenues.
* Established relationships with colleagues, partners, and C-level customers.

**Responsibilities**

* Product development - CRM: created business concept, ToR, roadmap, UX/UI, RM, commercial and social marketing strategies.
* Developed commercial and marketing strategies for all products to create value propositions for new clients.
* Participated in developing a marketing strategy: brand promotion, loyalty, new leads, media, social companies, press.
* Managed humanitarian project implementation, including IT solutions (value conception design, CRM, website, fundraising).
* Implemented PM, BA standards, and methodologies into strategic corporate sales.
* Managed 10 active customers and 40+ prospects with a total ARR of $1M (FMCG, Agro, Manufacturing).
* Closed 15 deals in 1.5 years with overachievement success.
* Developed account strategy for top clients in FMCG, resulting in higher sales conversion.
* Involved 10+ clients annually (annual sales turnover €300.000).
* Created and managed the partner relations/Involved 5+ partners a year/Sales turnover in partners network €220k a year.

**Personal Attributes**

* Open-minded, motivated, and curious individual, eager to test potential and take calculated risks.
* Persuasive personality, creative, proactive, reliable, independent, and perfectionist.
* Enthusiastic team player who values colleagues' input and assumes leadership for responsibilities and important decisions.
* Independent worker with a positive attitude, great energy, and strong solution-oriented mindset.
* Adapts and multi-tasks in a fast-paced and quickly changing environment.
* Excellent interpersonal and communication skills with a creative approach.
* Driven to succeed in sales, project development, negotiation, and implementation of ideas, needs, and cases."
13196,"Experienced Operations Manager with a proven track record in business development, delivering personalized services while managing 3-4 clients simultaneously. Demonstrated success in testing internal tools, resulting in improved client responses. Excelled in cold outreach via email, LinkedIn, and calls.

Managed a team of 12 senior team leaders, including 42 SDRs across Mexico and Ukraine locations, earning recognition as ""The Best Manager"" every month. Skilled in day-to-day client communication and interested in pursuing a Project Manager role.

Professional career progression:

* 2019: Began as a B2B SDR
* 2021: Promoted to Team Lead role
* 2022: Advanced to Operations Manager

Adept at managing 10 active client responses while maintaining personalized interactions. Passionate about business development and committed to ethical practices, ensuring honest representation of qualifications and experiences."
13382," **Experience:**

* Implemented ERP system, aligning it with business needs and delivering high-quality results on time and within budget. Achievements include: Reducing databases from 1"
13461," Chief Accountant, Bank [Duration]

* Directed and managed the financial operations of the bank, ensuring compliance with regulations and accuracy in financial reporting.
* Collaborated with senior management to establish and implement financial strategies.

Director, Bank [Duration]

* Oversaw the operations of the bank, driving growth, efficiency, and profitability.
* Developed and maintained relationships with key stakeholders, including customers, regulators, and shareholders.

Software Implementation Specialist, Bank [Duration]

* Implemented software solutions for treasury, processing, and agency sales, improving operational efficiency and productivity.
* Coordinated with cross-functional teams to gather requirements, configure software, and ensure successful implementation.

Development Team Manager, Bank [Duration]

* Led a development team of up to 10 members, creating and maintaining automation products for banking activities from scratch.
* Assigned tasks, managed workflows, and ensured timely delivery of projects.

Project Manager, Bank [Duration]

* Managed projects with customers, setting up tasks for development, overseeing testing, and implementing solutions to customers.
* Gained experience in international companies, further developing skills in complex project management.

Work Experience: Over 10 years of experience in implementing and managing complex projects in the banking industry. Proven track record in directing financial operations, overseeing bank operations, implementing software solutions, leading development teams, and managing projects in the banking industry.

(New section)

Skills:

* Financial management and reporting
* Strategic planning and implementation
* Software implementation and configuration
* Team leadership and management
* Project management and delivery
* Stakeholder engagement and management
* International project experience
* Automation product development
* Regulatory compliance
* Operational efficiency improvement."
13475,"Business Transformation Manager / Head of PM / IT Project Manager

* Increased company size by 300% in 1 year, expanding team from 12 to 36 members
* Decreased client bag reports by 80% through enhanced delivery quality
* Improved project margins by 27% and reduced delivery times with parallel processes
* Led a team of 35 professionals, including PMs, front-end and back-end developers, QA, designers, and sales managers
* Analyzed business processes and workflows to identify and address bottlenecks
* Prioritized and executed business process transformation plans
* Implemented a standardized time-tracking system, improving developer estimates and eliminating projects exceeding estimates
* Enhanced developer workload indicator by 20%, reducing downtime between projects and increasing revenue
* Augmented company profit by 40%
* Managed a team of 17 members, including 2 managers and 15 developers
* Trained project managers from the beginning level
* Successfully launched over 40 projects (websites)
* Skilled in manual testing and web design
* Passionate about product development, game development, and business process transformation for company growth

Seeking new opportunities in a reputable company with a dynamic team."
13477," Experienced Head of Business Analysis

Work Experience:

1. Business Analysis Director, IT Firm
Duration: 4 years
- Led and executed 20+ business analysis projects
- Established project management processes within the team and with clients
- Partnered with prominent banking clients in Ukraine, such as Alfa Bank, Ukrsotsbank, Aval Bank, Bank Credit Dnipro, Idea Bank
- Formulated loan portfolio segmentation, enhancing work efficiency by 8-10%
- Designed a scoring model based on 50+ indicators, decreasing costs by 1.5 million dollars."
13537," * Mentored and trained new staff, providing internships and company orientation.
* Coordinated project development tasks, ensuring their successful completion.
* Managed a team of junior customer service representatives, setting goals, meeting deadlines, and facilitating cross-functional collaboration.
* Monitored team communications and disseminated knowledge about new products and updates.
* Generated monthly KPI reports on subordinate operator performance, analyzing data for work process optimization.
* Identified and resolved product/service usage issues, proposing solutions to enhance user experience.
* Facilitated interdepartmental communication, ensuring efficient issue resolution and delivering customer-centric solutions.
* Provided multichannel customer support, handling inquiries through chats, tickets, messengers, and social networks.
* Delivered exceptional customer service, resolving queries with passion and commitment.
* Communicated effectively with English-speaking clients from various regions, resolving complex service issues and addressing current concerns.
* Proficient in CRM systems, adept at adapting to new programs and changes.
* Demonstrated successful track record in problem-solving and customer satisfaction."
13893,"- Generated $1,000,000 in revenue within a tenure of 9 months.
- Built, managed, and led a highly efficient lead generation and sales team of 5 members in just 4 months.
- Implemented OKR (Objectives and Key Results) and KPI (Key Performance Indicator) frameworks to drive performance, track progress, and achieve targets.
- Led B2B sales and business development process, including end-to-end lead generation, customer support, and partnership management.
- Managed teams of up to 8 sales, business development, and account managers, fostering a results-driven culture, and driving team performance.
- Successfully negotiated and closed deals, delivering on company objectives, resulting in a 20% increase in quarterly sales.
- Handled planning and budgeting process effectively, aligning team goals with company strategy, and resulting in a 15% reduction in operational costs.
- Served as an advocate for company products, promoting their value to potential clients, and resulting in a 25% increase in lead generation.
- Open to personal meetings for discussing opportunities in detail."
13897," Commercial Director, International Trading Company

• Directed a high-performing commercial team, contributing to the company's growth and success during a 4-year tenure.
• Oversaw all commercial activities and strategies, managed key accounts, negotiated contracts with suppliers and buyers, and built robust relationships with international partners.
• Fostered close collaboration with sales, marketing, finance, and logistics departments, ensuring seamless coordination and alignment across the organization.

Primary Responsibilities:
• Led the commercial team, setting strategic goals and objectives.
• Managed key accounts, ensuring customer satisfaction and retention.
• Negotiated favorable contracts with suppliers and buyers.
• Established and maintained strong relationships with international partners.
• Coordinated with various departments, ensuring seamless integration and alignment."
14744,"Experienced professional with a strong background in managing changes and implementing systems in large trading and manufacturing companies.

Expertise:

* Project management and business analysis
* System analysis and design (MRP II, ERP, WMS, CRM, BI, MDB, etc.)
* Warehouse logistics, supply chain management, and production management
* Sales, shipping, production, and supply planning
* Budgeting and management accounting

Proven track record:

* Designed and implemented MRP II-based management resource systems, eliminating shortages of raw and materials, increasing production planning efficiency, and minimizing force majeure.
* Streamlined operational activities in grocery and electronic supermarkets, including administration of corporate directories, marketing promotions, and loyalty programs.
* Implemented WMS and accounting systems for goods consignments, minimizing errors in warehouse selection/placement and increasing service level.
* Developed and implemented S&OP, WMS, SCM, BI, etc. systems, increasing business efficiency.

Led IT projects in four countries remotely, establishing and consolidating management accounting.

Experienced in leading teams of programmers and analysts up to 20 people.

Problem solver with a strong desire to fix old mistakes and prevent new ones.

Seeking a company with a culture of continuous improvement and seeking analysts' help."
14862," Experience:

* Founded and established company, building a solid foundation and structure ahead of schedule.
* Assembled an effective team, completing annual plan 7 months ahead of schedule.
* Drove revenue growth by 102% and company net profit by 58% of planned indicators.
* Executed a rebranding strategy, leading to a new company structure and regulations.
* Optimized business processes, decreasing costs by 30%.

Expertise:

* Over 11 years of experience in business and project management.
* Expertise in Innovative Technologies and Entertainment Industry for over 3 years.
* Over 8 years of experience in Media and Fashion Business.
* Proficient in people management, ranging from 5 to 500+ individuals.
* Strong experience in building operational processes from scratch and operations management.
* Skilled in business processes systematization and automation, digitization of documents, planning and financial performance management.
* Extensive experience in managing international projects and teams in France, Italy, Great Britain, UAE, USA, Germany, Saudi Arabia, and Spain."
14882,"CEO & Founder, Software Startups
• Led and founded two software startups as CEO, responsible for HR, finances, tech development, legal, marketing, fundraising, and business partnerships
• Successfully launched web and mobile products for local and international companies, taking them from concept to marketing stage
• Developed data-driven marketing strategies, including referral programs, cash back campaigns, and offline partnerships (7+ years of experience in local and international IT companies)

Product & Project Manager, IT Companies
• Held key management roles in 10+ IT projects (web + mobile), serving as the primary coordination point for both internal and external stakeholders
• Directed technical teams towards successful roadmap implementation within allocated resources

Blockchain & Exponential Technologies Enthusiast
• Passionate about innovation, optimization, and automation
• Results-driven and deadline-oriented entrepreneur, with expertise in blockchain technology and its applications in the fintech industry

Marketer & Growth Ninja
• Skilled in creating marketing strategies that drive growth, with a proven track record in developing data-driven campaigns and partnerships

Seeking
• Rare and exciting opportunities for personal growth and career development
• Ambitious business or organization with a social impact mission
• Projects with a beneficial social impact and products that challenge traditional ways of thinking and working
• Fintech projects and products that focus on blockchain transformation
• Career development opportunities, working environment, and social corporate culture are important considerations in my decision-making process."
14890," Business Analyst & Project Manager

• Collected, consolidated, and analyzed requirements for 1C Enterprise, client projects, and business operations
• Communicated with company employees, global development teams, and clients through verbal and written communication
• Analyzed and documented business processes, optimized 1C Enterprise operations, and researched new approaches to enhance existing processes
• Assisted in project management, coordination, and interaction with other teams, developed project plans, and managed resources
• Created technical tasks, functional responsibilities, and SEO structure for the entire project development period
• Utilized CRM systems for data collection and analysis, developed a marketing strategy, and launched a charitable NFT project
• Conducted market research, built UX prototypes, and managed teams for various projects

As CEO, Owner, and Business Analyst,
• Disseminated information about Internet opportunities, developed a business model, and organized the company (documentation, hiring, distribution of functional responsibilities)
• Developed SEO structure and usability of website design, marketing strategy, and managed marketing campaigns
• Searched for new approaches to optimize existing processes, and developed a CRM system for data collection and analysis."
14906," Positions:

* Development Director, Restaurant Business
* Political Campaign Worker
* Project Manager, Organizer, Partnership Department Head, PR Specialist
* Business Owner, Company Director

Years of Experience: 6

Responsibilities and Achievements:

* Generated over UAH 10,000,000 in a single month for the company through strategic partnerships
* Spearheaded a team to increase company revenue by 1,000% within a year, from UAH 100,000 to UAH 1,000,000
* Streamlined and automated company processes, implemented 45 staff efficiency metrics, and established project task management, leading to increased income and improved project completion rate

Languages:

* Ukrainian (Native)
* Russian (Native)
* English (B2/C1)
* German (Beginner)
* Spanish (Beginner)

Education:

* Bachelor of International Relations"
14907,"Transformation of businesses and departments into systematic form (MBA coursework)

* Led products, achieving a 10%+ monthly userbase growth
* Managed crypto portfolios with 5%+ monthly profitability using market neutral strategies
* Secured funds for fixed income allocation, ventures, and directional trading
* Developed algotrading bots for bitcoin and $ portfolios, targeting 50% annual profits with max 5% risk
* Accurately forecasted stock market direction, crises, EUR/USD, and oil price direction for one year

Exhibit: strong interpersonal skills, meticulous, responsible, persistent, dedicated, energetic, and comradely

Technical proficiencies: websockets, REST, API, python, excel macros, VPN

Experience:

* Investment Banking: Analyst to Portfolio Manager (2008-2013)
* Business Development: Classical Bank (2013-2014)
* Crypto Hedge Fund: Founder (2014-2017)
* IT Career: Algotrading bot developer (2017-2021)
* Crypto Exchange: Business Analyst to Product Manager and Head of Liquidity (2021-present)

Seeking CEO, Head of Product, CTO, or Head of Sales roles. Focus on effective principal-agent problem resolution."
14914," CEO / Project Manager at LLC «ДБК-7» (2017-2022)
• Led and coordinated a team of professionals, overseeing daily operations.
• Managed projects from inception to completion, ensuring timely delivery and budget adherence.
• Negotiated contracts and agreements at all levels, building and maintaining strong relationships with clients and partners.
• Obtained necessary permits from state bodies, ensuring compliance with regulations and laws.
• Participated in and conducted tenders, securing profitable deals.
• Developed comprehensive plans, budgets, and risk management strategies.
• Organized and facilitated meetings, fostering open communication and collaboration within the team.
• Oversaw marketing efforts and reporting, increasing brand visibility and driving business growth.
• Coordinated commissioning processes, ensuring a smooth transition from construction to operation.

Deputy Head of the Own Forces Department at LLC «KAN BUD» (2012-2017)
• Planned and coordinated department and construction site activities, optimizing workflows and enhancing productivity.
• Implemented cost-minimizing and profit-maximizing ideas, contributing to the company's financial success.
• Optimized work processes and analyzed financial activities, ensuring efficient resource allocation and financial health.
• Developed budgets, tenders, contracts, and estimates, maintaining accuracy and integrity in all financial dealings.
• Verified and approved documentation, adhering to quality standards and regulatory requirements.
• Managed procurement and vendor relations, negotiating favorable terms and maintaining positive partnerships.
• Created and implemented deadlines plans and controls, ensuring timely completion of projects and tasks.
• Monitored and adjusted pricing policies, maintaining competitiveness and profitability in the market."
14916,"Ranked among top young media managers in Ukraine by Talent Advisors, mmr.ua, and PwC.

Over 8 years as CEO of CitySites, leading a team of 200+ employees across 115 branches in 7 countries, including 057.ua, inalmaty.kz, comoros2"
14930," Achievement 1: Turned Around Client Dissatisfaction and Secured Additional Projects

- Transformed two projects with significant client dissatisfaction into successes through dedicated efforts and strong project management skills
- Addressed concerns, effectively managed timelines, resources, and budgets to exceed client expectations, delivering both projects on time and within budget
- High-quality work reinstated client’s confidence, leading to recognition as the most professional team they had worked with, securing continued cooperation and additional projects

Achievement 2: Developed Junior Teams into Skilled Mid-level Professionals

- Designed and implemented a 6-month training program for two teams of junior members with no commercial experience
- Guided and managed program focusing on .Net and NodeJS skills, enabling teams to transition from junior to mid-level professionals delivering results on par with experienced counterparts

Certified Project Manager, Scrum Master, and Team Leader (3+ years of experience)

- Demonstrated success in managing projects for clients such as Siemens, delivering high-quality projects on time and within budget
- Expertise in managing project timelines, resources, and budgets, ensuring high-quality deliverables
- Skilled in creating project plans, setting team goals, and delegating tasks to ensure successful project completion
- Experience in monitoring team performance, identifying potential issues, and taking corrective action to keep projects on track
- Proficient in managing stakeholder expectations and providing regular project updates

Previous Roles:

Business Analyst (~2 years)

- Gathered and translated client business requirements into user stories and process diagrams
- Collaborated with UX teams to ensure design compatibility with business requirements
- Moderated and facilitated meetings and workshops, identifying challenges and recommending improvements

Quality Assurance Engineer (~2 years)

- Contributed to the development of a clinical communication tool and a product for identifying licensed areas of code
- Ensured products met necessary quality standards and specifications."
14932," Blue Prism Professional Developer certificate

• 5 years of experience as an RPA Developer
• Expertise in:
	- Identifying process scope
	- Building robust architectures
	- Executing end-to-end development following industry best practices
	- Maintaining processes in production
	- Providing technical support
	- Producing detailed documentation
• Successfully delivered a complex RPA/data processing solution for an international client, rolled it out across Europe, Asia, and Australia
• Proven track record in leading RPA teams as a Project Manager, delivering automation solutions for a global EU client
• Experienced Node.js back-end developer with a strong background in:
	- Utilizing Express.js
	- MS SQL
	- Sequelize ORM to automate the monitoring of Blue Prism processes for web solutions
• Expanded technical proficiency and broadened skill set, enhancing expertise in automation."
